path	at_base	at_pin	at_head	added	deleted	class
apps/app/src/main.tsx	N	N	N	0	0	DELETED-OR-MOVED
apps/app/vite/native-module-stub-plugin.ts	N	N	N	0	0	DELETED-OR-MOVED
packages/agent/src/api/apps-routes.ts	Y	N	Y	0	1638	DELETED-OR-MOVED
packages/agent/src/runtime/eliza.ts	Y	Y	Y	1340	441	CHANGED
packages/agent/src/runtime/plugin-collector.ts	Y	Y	Y	119	27	CHANGED
packages/agent/src/runtime/plugin-resolver.ts	Y	Y	Y	163	49	CHANGED
packages/app-core/src/api/agent-status-auth-bridge.ts	N	N	Y	0	0	DELETED-OR-MOVED
packages/app-core/src/api/auth.ts	Y	Y	Y	35	27	CHANGED
packages/app-core/src/api/compat-route-shared.ts	Y	Y	Y	12	8	CHANGED
packages/app-core/src/api/dashboard-fallback-routes.ts	N	N	Y	0	0	DELETED-OR-MOVED
packages/app-core/src/api/kube-health.ts	N	N	Y	0	0	DELETED-OR-MOVED
packages/app-core/src/api/server-upstream-auth-bridge.ts	N	N	Y	0	0	DELETED-OR-MOVED
packages/app-core/src/api/server.ts	Y	Y	Y	199	72	CHANGED
packages/app-core/src/api/trusted-local-request.ts	N	N	N	0	0	DELETED-OR-MOVED
packages/app-core/src/browser.ts	Y	Y	Y	61	31	CHANGED
packages/app-core/src/cli/run-main.ts	Y	Y	Y	0	0	SURVIVES-UNCHANGED
packages/app-core/src/index.ts	Y	Y	Y	33	3	CHANGED
packages/app-core/src/runtime/dev-server.ts	Y	Y	Y	62	20	CHANGED
packages/app-core/src/runtime/eliza.ts	Y	Y	Y	244	84	CHANGED
packages/app-core/src/runtime/error-handlers.ts	Y	Y	Y	0	0	SURVIVES-UNCHANGED
packages/app-core/src/shell/DesktopOnboardingRuntime.tsx	N	N	N	0	0	DELETED-OR-MOVED
packages/app-core/src/ui-compat.ts	Y	Y	Y	7	21	CHANGED
packages/app/vite/native-module-stub-plugin.ts	Y	Y	Y	214	34	CHANGED
packages/core/build.ts	Y	Y	Y	71	22	CHANGED
packages/core/src/contracts/cloud-topology.ts	Y	Y	Y	8	8	CHANGED
packages/core/src/contracts/onboarding.ts	Y	N	Y	0	1750	DELETED-OR-MOVED
packages/core/src/features/basic-capabilities/index.ts	Y	Y	Y	42	18	CHANGED
packages/core/src/index.browser.ts	Y	Y	Y	90	8	CHANGED
packages/core/src/index.node.ts	Y	Y	Y	69	18	CHANGED
packages/core/src/runtime-env.ts	Y	Y	Y	0	0	SURVIVES-UNCHANGED
packages/core/src/services/onboarding-state.ts	Y	N	Y	0	914	DELETED-OR-MOVED
packages/core/src/settings-debug.ts	Y	Y	Y	0	0	SURVIVES-UNCHANGED
packages/core/src/spoken-text.ts	Y	Y	Y	0	0	SURVIVES-UNCHANGED
packages/core/src/utils/state-dir.ts	Y	Y	Y	20	16	CHANGED
packages/shared/scripts/generate-keywords.mjs	Y	Y	Y	8	8	CHANGED
packages/ui/src/api/client-agent.ts	Y	Y	Y	1204	347	CHANGED
packages/ui/src/api/client-base.ts	Y	Y	Y	496	241	CHANGED
packages/ui/src/api/client-chat.ts	Y	Y	Y	248	83	CHANGED
packages/ui/src/api/client-types-alice.ts	N	N	Y	0	0	DELETED-OR-MOVED
packages/ui/src/App.tsx	Y	Y	Y	1172	604	CHANGED
packages/ui/src/components/apps/internal-tool-apps.ts	Y	Y	Y	26	6	CHANGED
packages/ui/src/components/chat/MessageContent.tsx	Y	Y	Y	9	7	CHANGED
packages/ui/src/components/shell/StartupShell.tsx	Y	Y	Y	54	308	CHANGED
packages/ui/src/hooks/index.ts	Y	Y	Y	5	3	CHANGED
packages/ui/src/state/onboarding-bootstrap.ts	Y	N	Y	0	95	DELETED-OR-MOVED
